,text,id,created_at,entities
0,I knew my stats were gonna be a lot because lockdown n shit but holy fuck https://t.co/cRT5UujiIF,1357116653725704193,2021-02-03T23:59:58.000Z,"{'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/cRT5UujiIF', 'expanded_url': 'https://twitter.com/EternaIXO/status/1357116653725704193/photo/1', 'display_url': 'pic.twitter.com/cRT5UujiIF'}, {'start': 74, 'end': 97, 'url': 'https://t.co/cRT5UujiIF', 'expanded_url': 'https://twitter.com/EternaIXO/status/1357116653725704193/photo/1', 'display_url': 'pic.twitter.com/cRT5UujiIF'}, {'start': 74, 'end': 97, 'url': 'https://t.co/cRT5UujiIF', 'expanded_url': 'https://twitter.com/EternaIXO/status/1357116653725704193/photo/1', 'display_url': 'pic.twitter.com/cRT5UujiIF'}, {'start': 74, 'end': 97, 'url': 'https://t.co/cRT5UujiIF', 'expanded_url': 'https://twitter.com/EternaIXO/status/1357116653725704193/photo/1', 'display_url': 'pic.twitter.com/cRT5UujiIF'}]}"
1,I'm trying that Cer 100 hair mask thing because my poor hair has gone through it during quarantine. It needs HELP.,1357116653079732224,2021-02-03T23:59:58.000Z,None
2,"@DavidMDrucker @RepMTG She is the one who visits your home, takes a shit in your bathroom, and doesn't flush or wash her hands. She wets them and wipes residue on your towel. Then she runs her fingers through your son's hair and says, Hey there, Tiger. Vote Republican.",1357116652706549760,2021-02-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'DavidMDrucker'}, {'start': 15, 'end': 22, 'username': 'RepMTG'}]}"
3,"RT @WeingartenDE: 1. Im Dänemark-#Lockdown nehmen #B117-Fälle um 70% pro Woche zu 
2. Modellierung zeigt mehr Virus am #Aerosol 0,9-0,10 μm…",1357116651058118656,2021-02-03T23:59:58.000Z,"{'hashtags': [{'start': 33, 'end': 42, 'tag': 'Lockdown'}, {'start': 50, 'end': 55, 'tag': 'B117'}, {'start': 119, 'end': 127, 'tag': 'Aerosol'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'WeingartenDE'}]}"
4,"RT @David28787016: Stop the world, no one go out side. Make sure you double on absolutely pointless homemade sparkly ear loop masks! An 100…",1357116649195847691,2021-02-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'David28787016'}]}"
5,"RT @dabeard: He was a first-time vendor.
He got a no-bid government contract.
$34.5 million for N95 masks.
He didn't have masks.
Not one.
H…",1357116643659444227,2021-02-03T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'dabeard'}]}"
6,"@Urban_Immerser @builditliveit @IDont_RecallVic @VicGovDH But you said masks work and they obviously don’t. Just accept it, you are clearly wrong! 🤣😂😁",1357116642925236227,2021-02-03T23:59:56.000Z,"{'mentions': [{'start': 0, 'end': 15, 'username': 'Urban_Immerser'}, {'start': 16, 'end': 30, 'username': 'builditliveit'}, {'start': 31, 'end': 47, 'username': 'IDont_RecallVic'}, {'start': 48, 'end': 57, 'username': 'VicGovDH'}]}"
7,I made someone laugh yesterday with a note on my door. Caught her wrinkling her nose and her eyes couldn't contain her laughter as a broad smile filled her face. She left the post and said it'd made her day. in a world of masks and rules it was one of the best things I've seen.,1357116642518593536,2021-02-03T23:59:56.000Z,None
8,RT @anna_UK_Ca: @OmarAlghabra Please recognise that “visiting” neighbours or family is very different to reuniting with your International…,1357116641063108608,2021-02-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'anna_UK_Ca'}, {'start': 16, 'end': 29, 'username': 'OmarAlghabra'}]}"
9,I motion to rename Face Masks as Neck Hammocks 😷 All of those in favor:,1357116640538861570,2021-02-03T23:59:55.000Z,None
